Title,Published_date,Views,Likes,Comments,CategoryId,VideoId,Channel
Insane Cake Cutting!,2021-10-13,25827222,692210,21598,24,dfJaOg3jo1M,Beast Reacts
World's Most Dangerous Jobs!,2021-10-08,33330264,696202,15762,24,OSXbYwoCc5Y,Beast Reacts
Most Heavily Guarded Homes On Earth!,2021-09-27,21098294,512866,14552,24,JBja-4mS_nM,Beast Reacts
Impossible Try Not To Laugh Challenge!,2021-09-09,26475985,628800,12188,24,b9_cx_pTaK0,Beast Reacts
Impossible 0.0000001% Odds!,2021-09-07,41796539,901332,22304,24,nowJp4hsQ7k,Beast Reacts
World's Largest Water Tunnel!,2021-09-03,18883501,499853,13268,24,GDRcCvQNY-g,Beast Reacts
Most Insane Water Parks!,2021-08-26,23489609,494411,21553,24,eKEs1KjvBPM,Beast Reacts
Most Expensive Luxury Items!,2021-08-23,40159227,699236,17790,24,PJC-oRDwwY8,Beast Reacts
Extreme Rooftop Parkour Escape!,2021-08-12,25969772,542988,36591,24,FsnvgkZsCwY,Beast Reacts
100 Days Of Building!,2021-08-05,22590593,665082,25049,24,vHfPJ1-ERIQ,Beast Reacts
Extreme Try Not To Laugh Challenge!,2021-07-29,51240950,1118965,20238,24,9jzUrudNUWo,Beast Reacts
Car Vs 1000 Nails!,2021-07-19,24497341,497635,15856,24,HjhYo55QKfQ,Beast Reacts
Longest Car Jump!,2021-07-13,17542589,458870,12958,24,qOSs7aMzrNM,Beast Reacts
Worldu2019s Most Expensive Car!,2021-07-09,34737306,876165,24857,24,hDYFFYUzxQQ,Beast Reacts
Worldu2019s Fastest Big Mac Ever Eaten,2021-07-06,52307276,934001,24422,24,vd57lL4a8Iw,Beast Reacts
Most Dangerous Tourist Destinations!,2021-07-02,43691405,765968,18104,24,0OnHP2tlTU0,Beast Reacts
Inside an Ice Cream Factory!,2021-06-28,39237387,917985,23832,24,yzbeiFEUPNQ,Beast Reacts
TikTok Try Not To Laugh Challenge!,2021-06-23,42214155,873492,17570,24,J8Oi3hMS5Zw,Beast Reacts
Insane BMX Downhill!,2021-06-13,51376245,829868,16835,24,L1ug9p8uECU,Beast Reacts
Worldu2019s Most Expensive Food!,2021-06-05,45351076,1028216,64453,24,ooqdg9Wr-mo,Beast Reacts
1000 Degree Ball vs Ice!,2021-05-28,33242734,568415,14385,24,r0HOCD3ilpY,Beast Reacts
Unbelievable Mountain Coaster!,2021-05-25,15640261,406536,10979,24,B40wUL-fN4M,Beast Reacts
Most Expensive Houses!,2021-05-21,40807042,975798,34589,24,W57EKdp3nf8,Beast Reacts
Real Flying Suit!,2021-05-17,14056470,375262,12847,24,T8J_liUBONQ,Beast Reacts
Worldu2019s Longest Skate Jump!,2021-05-15,16319118,454354,12574,24,ycI3n8M19Jk,Beast Reacts
World's Fastest Workers!,2021-05-11,53320237,950525,20606,24,Rw7qsAoJs3g,Beast Reacts
Worldu2019s Most Insane Roller Coaster!,2021-05-07,21387614,540987,29137,24,pnnbsciy1yI,Beast Reacts
Forging A Katana From Rusted Chain!,2021-05-03,36357888,595092,17890,24,T_7X9Inu11I,Beast Reacts
Worldu2019s Largest Lighter!,2021-04-30,28703082,539695,14716,24,pmUgsc48WXA,Beast Reacts
Hydraulic Press vs 1000 Sheets Of Paper,2021-04-28,34576338,718245,17284,24,ZRjgy6RAupY,Beast Reacts
Worldu2019s Largest Elephant Toothpaste!,2021-04-23,25615864,667346,27820,24,srvctbwq_cw,Beast Reacts
Insane Parkour Escape!,2021-04-19,30874428,557781,14487,24,d2k_vhqhe9g,Beast Reacts
Cycling On Ice!,2021-04-16,15017118,506185,11834,24,YQB6-F2TnAc,Beast Reacts
Jumping from 128,000 Feet!,2021-04-11,15785349,391576,10917,24,m9soynkOA0A,Beast Reacts
World's Tallest Tower!,2021-04-06,5260800,263461,12273,24,ykC7HZ1-FrQ,Beast Reacts
Insane Water Slides!,2021-04-02,28072613,657499,19797,24,0XeYtTS4zJ8,Beast Reacts
The Best 900 IQ Outplay Ever!,2021-03-29,11803150,346914,7761,20,a9DXfJC41-Q,Beast Reacts
Bowling Ball vs 600 Feet Drop!,2021-03-24,19445682,479279,13840,24,owP3zujYLWU,Beast Reacts
Water Balloons in Slow Motion!,2021-03-21,37121632,665401,20107,24,NhtPxMMOi4k,Beast Reacts
Hydro Dipping a PS4 Controller!,2020-04-12,6266249,123337,6831,24,c8OKK-UinZg,Beast Reacts
Lava vs Iphone XS!,2020-04-05,2059194,44802,1553,24,KfhSDcy-9RA,Beast Reacts
Hydraulic Press vs Bowling Ball!,2020-03-28,2312651,44622,1260,24,usJb2-oAV1M,Beast Reacts
1000 Degree Ball vs Toothpaste!,2020-03-23,6611980,127137,2866,24,ks8XDpvqfGM,Beast Reacts
Liquid Nitrogen vs Samsung!,2020-02-29,1380676,32290,1045,24,u3t0GahceIY,Beast Reacts
Hydraulic Press vs Steel Weight!,2020-02-27,7505211,140140,4638,24,RxxU3fY8bl8,Beast Reacts
Thoru2019s Hammer vs Helmet!,2020-02-22,10640980,208019,7666,24,LcygznDEc0s,Beast Reacts
iPhone 11 Vs FIREWORKS!,2020-02-06,1107035,16409,688,24,NLhHpKv9z38,Beast Reacts
Dry Ice Swimming Pool!,2020-01-29,4904360,94473,1465,24,4ljqaRtXeQM,Beast Reacts
Magma Vs Liquid Nitrogen!,2020-01-23,850500,13529,507,24,zAGnb5N0jBU,Beast Reacts
Sledge Hammer vs Shredder!,2020-01-16,5909948,117295,2339,24,qjhK4o_-dFc,Beast Reacts
1,000 Degree Ball VS Frozen Water,2020-01-09,909087,15320,980,24,RDEeAor-N4o,Beast Reacts
Wolverine Claws vs Watermelon!,2020-01-02,6922333,103962,2338,24,G-W9rSXdX1Y,Beast Reacts
Best of BeastHacks! - Matchstick Edition,2019-12-28,3479509,25199,711,24,SMw8PK2Wn2I,Beast Reacts
Best of BeastHacks! - iPhone Edition,2019-12-24,3203594,35636,1538,24,VyZ6VPiKIWY,Beast Reacts
Ultimate Chainsaw vs Pepsi!,2019-12-19,938462,16508,781,24,DL45GyjCIfM,Beast Reacts
Watermelon Vs 1,000 Degree Hydraulic Press!,2019-12-12,6378197,102227,2332,24,jE4b3gQwDR0,Beast Reacts
1,000 Degree Knife vs Coca Cola,2019-12-07,2056849,36855,1675,24,NS9coJnPsaA,Beast Reacts
